,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,4-11 CARE612 campus walk,2025-04-12T10:57:08.000,41.999682086,-87.657971699,81.0,19.0,22.0,21.0,26.0
2,4-11 CARE612 campus walk,2025-04-12T10:57:09.000,41.999682086,-87.657971531,81.0,18.0,21.0,20.0,26.0
3,4-11 CARE612 campus walk,2025-04-12T10:57:10.000,41.999682086,-87.657971531,81.0,19.0,22.0,21.0,26.0
4,4-11 CARE612 campus walk,2025-04-12T10:57:11.000,41.999682086,-87.65797128,81.0,19.0,22.0,21.0,26.0
5,4-11 CARE612 campus walk,2025-04-12T10:57:12.000,41.999682086,-87.657971112,81.0,19.0,22.0,21.0,26.0
6,4-11 CARE612 campus walk,2025-04-12T10:57:13.000,41.999672679,-87.657981174,81.0,18.0,21.0,20.0,26.0
7,4-11 CARE612 campus walk,2025-04-12T10:57:14.000,41.999668065,-87.65798791,81.0,17.0,19.0,18.0,26.0
8,4-11 CARE612 campus walk,2025-04-12T10:57:15.000,41.999667309,-87.657987933,81.0,16.0,18.0,17.0,26.0
9,4-11 CARE612 campus walk,2025-04-12T10:57:16.000,41.999665633,-87.657990494,81.0,16.0,18.0,17.0,26.0
10,4-11 CARE612 campus walk,2025-04-12T10:57:17.000,41.999667372,-87.657987744,81.0,18.0,21.0,20.0,26.0
11,4-11 CARE612 campus walk,2025-04-12T10:57:18.000,41.999664799,-87.657982673,81.0,17.0,19.0,18.0,26.0
12,4-11 CARE612 campus walk,2025-04-12T10:57:19.000,41.999652075,-87.658009403,81.0,17.0,19.0,18.0,26.0
13,4-11 CARE612 campus walk,2025-04-12T10:57:20.000,41.999647943,-87.658027446,81.0,17.0,19.0,18.0,26.0
14,4-11 CARE612 campus walk,2025-04-12T10:57:21.000,41.999642387,-87.658046949,81.0,17.0,19.0,18.0,26.0
15,4-11 CARE612 campus walk,2025-04-12T10:57:22.000,41.999632861,-87.658049688,81.0,16.0,18.0,17.0,26.0
16,4-11 CARE612 campus walk,2025-04-12T10:57:23.000,41.999620719,-87.658042207,81.0,16.0,18.0,17.0,26.0
17,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.99961051,-87.658035267,81.0,,,,
18,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.999600414,-87.658028434,81.0,,,,
19,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.99961051,-87.658035267,,15.0,,,
20,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.999600414,-87.658028434,,15.0,17.0,,
21,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.99961051,-87.658035267,,,17.0,16.0,
22,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.999600414,-87.658028434,,,,16.0,
23,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.99961051,-87.658035267,,,,,26.0
24,4-11 CARE612 campus walk,2025-04-12T10:57:25.000,41.999600414,-87.658028434,,,,,25.0
25,4-11 CARE612 campus walk,2025-04-12T10:57:27.000,41.999582174,-87.658009802,81.0,15.0,17.0,16.0,25.0
26,4-11 CARE612 campus walk,2025-04-12T10:57:28.000,41.999570638,-87.658005839,81.0,16.0,18.0,17.0,26.0
27,4-11 CARE612 campus walk,2025-04-12T10:57:29.000,41.999563629,-87.658001705,81.0,16.0,18.0,17.0,26.0
28,4-11 CARE612 campus walk,2025-04-12T10:57:30.000,41.999550424,-87.657988194,81.0,16.0,18.0,17.0,26.0
29,4-11 CARE612 campus walk,2025-04-12T10:57:31.000,41.999535573,-87.657982864,81.0,16.0,18.0,17.0,26.0
30,4-11 CARE612 campus walk,2025-04-12T10:57:32.000,41.999519104,-87.657976002,81.0,16.0,18.0,17.0,26.0
31,4-11 CARE612 campus walk,2025-04-12T10:57:33.000,41.999505103,-87.657971027,81.0,16.0,18.0,17.0,26.0
32,4-11 CARE612 campus walk,2025-04-12T10:57:34.000,41.99949223,-87.657962116,81.0,16.0,18.0,17.0,26.0
33,4-11 CARE612 campus walk,2025-04-12T10:57:35.000,41.999479657,-87.657958817,81.0,16.0,18.0,17.0,26.0
34,4-11 CARE612 campus walk,2025-04-12T10:57:36.000,41.999471536,-87.657947504,81.0,16.0,18.0,17.0,26.0
35,4-11 CARE612 campus walk,2025-04-12T10:57:37.000,41.999459528,-87.657938088,81.0,16.0,18.0,17.0,26.0
36,4-11 CARE612 campus walk,2025-04-12T10:57:38.000,41.999445725,-87.65792873,81.0,16.0,18.0,17.0,26.0
37,4-11 CARE612 campus walk,2025-04-12T10:57:39.000,41.999437021,-87.657920804,81.0,16.0,18.0,17.0,26.0
38,4-11 CARE612 campus walk,2025-04-12T10:57:40.000,41.999426232,-87.657913657,81.0,16.0,18.0,17.0,26.0
39,4-11 CARE612 campus walk,2025-04-12T10:57:41.000,41.99941991,-87.65790527,81.0,16.0,18.0,17.0,26.0
40,4-11 CARE612 campus walk,2025-04-12T10:57:42.000,41.999407399,-87.657896323,81.0,16.0,18.0,17.0,26.0
41,4-11 CARE612 campus walk,2025-04-12T10:57:43.000,41.999394959,-87.657890223,81.0,16.0,18.0,17.0,26.0
42,4-11 CARE612 campus walk,2025-04-12T10:57:44.000,41.999385848,-87.657887638,81.0,16.0,18.0,17.0,26.0
