,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Walking ,2025-03-15T14:47:06.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,36.0
2,Walking ,2025-03-15T14:47:07.000,41.991638056,-87.658688429,73.0,1.0,1.0,1.0,36.0
3,Walking ,2025-03-15T14:47:09.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,36.0
4,Walking ,2025-03-15T14:47:10.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,36.0
5,Walking ,2025-03-15T14:47:11.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,36.0
6,Walking ,2025-03-15T14:47:12.000,41.991638056,-87.658688429,73.0,1.0,1.0,1.0,36.0
7,Walking ,2025-03-15T14:47:13.000,41.991638056,-87.658688429,73.0,1.0,1.0,1.0,36.0
8,Walking ,2025-03-15T14:47:15.000,41.991638056,-87.658688429,73.0,1.0,1.0,1.0,36.0
9,Walking ,2025-03-15T14:47:16.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,36.0
10,Walking ,2025-03-15T14:47:18.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,37.0
11,Walking ,2025-03-15T14:47:20.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,37.0
12,Walking ,2025-03-15T14:47:21.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,37.0
13,Walking ,2025-03-15T14:47:22.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,37.0
14,Walking ,2025-03-15T14:47:23.000,41.991638056,-87.658688429,73.0,3.0,4.0,3.0,37.0
15,Walking ,2025-03-15T14:47:24.000,41.991638056,-87.658688429,73.0,3.0,4.0,3.0,37.0
16,Walking ,2025-03-15T14:47:25.000,41.991638056,-87.658688429,73.0,3.0,4.0,3.0,37.0
17,Walking ,2025-03-15T14:47:26.000,41.991638056,-87.658688429,73.0,3.0,4.0,3.0,37.0
18,Walking ,2025-03-15T14:47:27.000,41.991638056,-87.658688429,73.0,3.0,4.0,3.0,37.0
19,Walking ,2025-03-15T14:47:28.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,37.0
20,Walking ,2025-03-15T14:47:30.000,41.991638056,-87.658688429,73.0,2.0,2.0,2.0,37.0
21,Walking ,2025-03-15T14:47:31.000,41.991638056,-87.658688429,73.0,3.0,4.0,3.0,37.0
22,Walking ,2025-03-15T14:47:32.000,41.991797354,-87.658697185,73.0,3.0,4.0,3.0,37.0
23,Walking ,2025-03-15T14:47:33.000,41.991797354,-87.658697185,73.0,3.0,4.0,3.0,37.0
24,Walking ,2025-03-15T14:47:34.000,41.991797225,-87.658697329,73.0,3.0,4.0,3.0,37.0
25,Walking ,2025-03-15T14:47:35.000,41.991791953,-87.658696825,73.0,3.0,4.0,3.0,37.0
26,Walking ,2025-03-15T14:47:36.000,41.991790359,-87.658695828,73.0,3.0,4.0,3.0,37.0
27,Walking ,2025-03-15T14:47:37.000,41.991788672,-87.658693222,73.0,3.0,4.0,3.0,37.0
28,Walking ,2025-03-15T14:47:38.000,41.991786924,-87.658692211,73.0,3.0,4.0,3.0,37.0
29,Walking ,2025-03-15T14:47:39.000,41.991784443,-87.658688705,73.0,3.0,4.0,3.0,37.0
30,Walking ,2025-03-15T14:47:40.000,41.991782847,-87.658687582,73.0,2.0,2.0,2.0,37.0
31,Walking ,2025-03-15T14:47:41.000,41.991780386,-87.658683712,73.0,2.0,2.0,2.0,37.0
32,Walking ,2025-03-15T14:47:42.000,41.991724042,-87.658691403,73.0,2.0,2.0,2.0,37.0
33,Walking ,2025-03-15T14:47:43.000,41.991715835,-87.658690868,73.0,3.0,3.0,3.0,37.0
