,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Test2,2025-04-12T10:47:01.000,41.999843832,-87.657734914,74.0,5.0,6.0,6.0,35.0
2,Test2,2025-04-12T10:47:02.000,41.999856391,-87.657730829,76.0,5.0,6.0,6.0,31.0
3,Test2,2025-04-12T10:47:03.000,41.999856471,-87.657730803,76.0,6.0,7.0,7.0,31.0
4,Test2,2025-04-12T10:47:04.000,41.999856471,-87.657730803,76.0,7.0,8.0,8.0,31.0
5,Test2,2025-04-12T10:47:05.000,41.999857944,-87.657731411,76.0,6.0,7.0,7.0,31.0
6,Test2,2025-04-12T10:47:06.000,41.999867171,-87.657723953,76.0,5.0,6.0,6.0,32.0
7,Test2,2025-04-12T10:47:07.000,41.999837749,-87.657779395,76.0,5.0,6.0,6.0,32.0
8,Test2,2025-04-12T10:47:08.000,41.999866284,-87.65772591,76.0,5.0,6.0,6.0,32.0
9,Test2,2025-04-12T10:47:09.000,41.999866968,-87.657726487,76.0,5.0,6.0,6.0,32.0
10,Test2,2025-04-12T10:47:10.000,41.999867824,-87.657727362,76.0,5.0,6.0,6.0,32.0
11,Test2,2025-04-12T10:47:11.000,41.999868161,-87.657728115,76.0,6.0,7.0,6.0,32.0
12,Test2,2025-04-12T10:47:12.000,41.999867414,-87.65772887,76.0,6.0,7.0,7.0,32.0
13,Test2,2025-04-12T10:47:13.000,41.999866452,-87.657728625,76.0,6.0,7.0,7.0,31.0
14,Test2,2025-04-12T10:47:14.000,41.999865987,-87.65772854,76.0,6.0,7.0,7.0,31.0
15,Test2,2025-04-12T10:47:15.000,41.999864444,-87.657729539,76.0,6.0,7.0,7.0,31.0
16,Test2,2025-04-12T10:47:16.000,41.999864434,-87.657729546,76.0,6.0,7.0,7.0,31.0
17,Test2,2025-04-12T10:47:17.000,41.999862352,-87.657729379,76.0,6.0,7.0,7.0,31.0
18,Test2,2025-04-12T10:47:18.000,41.999861922,-87.657729211,77.0,6.0,7.0,7.0,31.0
19,Test2,2025-04-12T10:47:19.000,41.999831534,-87.657779792,77.0,6.0,7.0,7.0,31.0
20,Test2,2025-04-12T10:47:20.000,41.999833827,-87.657779018,77.0,6.0,7.0,7.0,31.0
21,Test2,2025-04-12T10:47:21.000,41.999836893,-87.657781752,77.0,6.0,7.0,7.0,31.0
22,Test2,2025-04-12T10:47:22.000,41.999830695,-87.657786453,76.0,5.0,6.0,6.0,31.0
23,Test2,2025-04-12T10:47:23.000,41.999829733,-87.657781441,77.0,4.0,5.0,5.0,31.0
24,Test2,2025-04-12T10:47:24.000,41.99982996,-87.657779835,77.0,4.0,5.0,5.0,31.0
25,Test2,2025-04-12T10:47:25.000,41.999829772,-87.657784131,77.0,4.0,5.0,5.0,31.0
26,Test2,2025-04-12T10:47:26.000,41.999825971,-87.657791986,77.0,5.0,6.0,6.0,31.0
27,Test2,2025-04-12T10:47:28.000,41.999821348,-87.657804108,77.0,,,,
28,Test2,2025-04-12T10:47:28.000,41.999823622,-87.657797667,77.0,5.0,,,
29,Test2,2025-04-12T10:47:28.000,41.999821348,-87.657804108,,5.0,,,
30,Test2,2025-04-12T10:47:28.000,41.999823622,-87.657797667,,,6.0,,
31,Test2,2025-04-12T10:47:28.000,41.999821348,-87.657804108,,,6.0,,
32,Test2,2025-04-12T10:47:28.000,41.999823622,-87.657797667,,,,6.0,
33,Test2,2025-04-12T10:47:28.000,41.999821348,-87.657804108,,,,6.0,31.0
34,Test2,2025-04-12T10:47:28.000,41.999823622,-87.657797667,,,,,31.0
35,Test2,2025-04-12T10:47:30.000,41.999816777,-87.657810561,77.0,5.0,6.0,6.0,31.0
36,Test2,2025-04-12T10:47:31.000,41.999816777,-87.657810561,77.0,5.0,6.0,6.0,31.0
37,Test2,2025-04-12T10:47:32.000,41.999823621,-87.657792924,77.0,5.0,6.0,6.0,31.0
38,Test2,2025-04-12T10:47:33.000,41.99982791,-87.657785256,77.0,4.0,5.0,5.0,31.0
39,Test2,2025-04-12T10:47:34.000,41.99982791,-87.657785256,77.0,4.0,5.0,5.0,31.0
40,Test2,2025-04-12T10:47:35.000,41.99982791,-87.657785256,77.0,4.0,5.0,5.0,31.0
41,Test2,2025-04-12T10:47:36.000,41.99982791,-87.657785256,77.0,4.0,5.0,5.0,31.0
42,Test2,2025-04-12T10:47:37.000,41.99982791,-87.657785256,77.0,4.0,5.0,5.0,31.0
43,Test2,2025-04-12T10:47:38.000,41.99982791,-87.657785256,77.0,4.0,5.0,5.0,31.0
44,Test2,2025-04-12T10:47:39.000,41.99982791,-87.657785256,77.0,4.0,5.0,5.0,31.0
45,Test2,2025-04-12T10:47:40.000,41.99982791,-87.657785256,77.0,5.0,5.0,5.0,31.0
46,Test2,2025-04-12T10:47:41.000,41.99982791,-87.657785256,77.0,5.0,6.0,6.0,31.0
47,Test2,2025-04-12T10:47:42.000,41.99982791,-87.657785256,77.0,5.0,6.0,6.0,31.0
48,Test2,2025-04-12T10:47:43.000,41.99982791,-87.657785256,77.0,5.0,6.0,6.0,31.0
49,Test2,2025-04-12T10:47:44.000,41.99982791,-87.657785256,77.0,6.0,7.0,7.0,31.0
50,Test2,2025-04-12T10:47:45.000,41.99982791,-87.657785256,77.0,6.0,7.0,7.0,31.0
