,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:b0b21c76262c,AirBeam3:b0b21c76262c,AirBeam3:b0b21c76262c,AirBeam3:b0b21c76262c,AirBeam3:b0b21c76262c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:04.000,41.872660219,-87.631444192,72.0,38.0,67.0,43.0,57.0
2,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:05.000,41.872660219,-87.631444192,73.0,35.0,60.0,39.0,57.0
3,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:06.000,41.872660219,-87.631444192,73.0,38.0,66.0,43.0,57.0
4,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:07.000,41.872660219,-87.631444192,73.0,35.0,60.0,39.0,57.0
5,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:08.000,41.872660219,-87.631444192,73.0,35.0,60.0,39.0,57.0
6,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:09.000,41.872660219,-87.631444192,73.0,35.0,60.0,39.0,57.0
7,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:10.000,41.872660219,-87.631444192,73.0,35.0,60.0,39.0,57.0
8,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:11.000,41.872660219,-87.631444192,73.0,35.0,60.0,39.0,57.0
9,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:12.000,41.872660219,-87.631444192,73.0,35.0,60.0,39.0,57.0
10,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:13.000,41.872660219,-87.631444192,73.0,37.0,63.0,41.0,57.0
11,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:14.000,41.872660219,-87.631444192,73.0,40.0,73.0,46.0,57.0
12,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:15.000,41.872660219,-87.631444192,73.0,38.0,66.0,43.0,57.0
13,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:16.000,41.872660219,-87.631444192,73.0,38.0,66.0,43.0,57.0
14,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:17.000,41.872660219,-87.631444192,73.0,38.0,66.0,43.0,57.0
15,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:18.000,41.872660219,-87.631444192,73.0,38.0,66.0,43.0,57.0
16,06-05-2025 LaTreesha turn on 10:40am ,2025-06-05T10:40:19.000,41.872660219,-87.631444192,73.0,40.0,73.0,46.0,57.0
